,Unnamed: 0,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
1440,230,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2011,55 km2,374 ha,6.8 %,2 Broj,143 Broj,2455 Broj,7842 Broj,3833 Broj,4009 Broj,0.96 Odnos,1.05 Odnos,469 Broj,6 %,592 Broj,7.5 %,367 Broj,4.7 %,6510 Broj,83 %,1416 Broj,18.1 %,5297 Broj,67.5 %,1666 Broj,21.2 %,1484 Broj,18.9 %,43.29 Broj,133.1 Indeks,50 Broj,6.38 ‰,151 Broj,19.26 ‰,1 Broj,20 ‰,-101 Broj,-12.88 ‰,33.11 Indeks,1.09 Koeficijent,70.3 Broj,71.8 Broj,48 Broj,20 Broj,28 Broj,31 Broj,0 Broj,0 Broj,-13 Broj,97.9 km,1.8 km,1621 Broj,207 Broj,2305 Broj,93.9 %,572 Broj,23.3 %,7 Broj,0.9 Broj,62.6 %,17.2 %
1441,231,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2012,55 km2,374 ha,6.8 %,2 Broj,141 Broj,2455 Broj,7738 Broj,3785 Broj,3953 Broj,0.96 Odnos,1.04 Odnos,444 Broj,5.7 %,571 Broj,7.4 %,363 Broj,4.7 %,6448 Broj,83.3 %,1408 Broj,18.2 %,5250 Broj,67.8 %,1654 Broj,21.4 %,1473 Broj,19 %,43.51 Broj,139.6 Indeks,52 Broj,6.72 ‰,118 Broj,15.25 ‰,1 Broj,19.2 ‰,-66 Broj,-8.53 ‰,44.07 Indeks,1.13 Koeficijent,73.7 Broj,76.5 Broj,47.4 Broj,19.3 Broj,28.1 Broj,19 Broj,1 Broj,19 Broj,-28 Broj,98.28 km,1.8 km,1686 Broj,218 Broj,2305 Broj,93.9 %,572 Broj,23.3 %,20 Broj,2.6 Broj,68.5 %,27.6 %
1442,232,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2013,55 km2,374 ha,6.8 %,2 Broj,139 Broj,2455 Broj,7650 Broj,3747 Broj,3903 Broj,0.96 Odnos,1.04 Odnos,416 Broj,5.4 %,567 Broj,7.4 %,358 Broj,4.7 %,6394 Broj,83.6 %,1401 Broj,18.3 %,5176 Broj,67.7 %,1631 Broj,21.3 %,1491 Broj,19.5 %,43.79 Broj,147 Indeks,39 Broj,5.1 ‰,113 Broj,14.77 ‰,0 Broj,0 ‰,-74 Broj,-9.67 ‰,34.51 Indeks,0.86 Koeficijent,73.2 Broj,75.1 Broj,47.8 Broj,19 Broj,28.8 Broj,31 Broj,0 Broj,0 Broj,-8 Broj,104.91 km,1.9 km,1760 Broj,230 Broj,2305 Broj,93.9 %,575 Broj,23.4 %,5 Broj,0.7 Broj,68.5 %,27.6 %
1443,233,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2014,55 km2,925 ha,16.8 %,2 Broj,137 Broj,2455 Broj,7550 Broj,3705 Broj,3845 Broj,0.96 Odnos,1.04 Odnos,383 Broj,5.1 %,563 Broj,7.5 %,352 Broj,4.7 %,6349 Broj,84.1 %,1386 Broj,18.4 %,5095 Broj,67.5 %,1613 Broj,21.4 %,1509 Broj,20 %,44.06 Broj,153.8 Indeks,42 Broj,5.56 ‰,133 Broj,17.62 ‰,0 Broj,0 ‰,-91 Broj,-12.05 ‰,31.58 Indeks,0.92 Koeficijent,74.2 Broj,76.5 Broj,48.2 Broj,18.6 Broj,29.6 Broj,29 Broj,3 Broj,9.7 Broj,-26 Broj,104.91 km,1.9 km,1769 Broj,234 Broj,2305 Broj,93.9 %,587 Broj,23.9 %,2 Broj,0.3 Broj,68.5 %,27.6 %
1444,234,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2015,55 km2,925 ha,16.8 %,2 Broj,136 Broj,2455 Broj,7466 Broj,3676 Broj,3790 Broj,0.97 Odnos,1.03 Odnos,366 Broj,4.9 %,556 Broj,7.4 %,328 Broj,4.4 %,6309 Broj,84.5 %,1346 Broj,18 %,5026 Broj,67.3 %,1596 Broj,21.4 %,1518 Broj,20.3 %,44.27 Broj,159.6 Indeks,54 Broj,7.23 ‰,111 Broj,14.87 ‰,0 Broj,0 ‰,-57 Broj,-7.63 ‰,48.65 Indeks,1.21 Koeficijent,75 Broj,77.3 Broj,48.5 Broj,18.3 Broj,30.2 Broj,33 Broj,4 Broj,8.3 Broj,5 Broj,105.32 km,1.9 km,1832 Broj,245 Broj,2305 Broj,93.9 %,590 Broj,24 %,10 Broj,1.3 Broj,68.5 %,27.6 %
1445,235,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2016,55 km2,925 ha,16.8 %,2 Broj,134 Broj,2455 Broj,7390 Broj,3644 Broj,3746 Broj,0.97 Odnos,1.03 Odnos,353 Broj,4.8 %,550 Broj,7.4 %,301 Broj,4.1 %,6270 Broj,84.8 %,1313 Broj,17.8 %,4950 Broj,67 %,1562 Broj,21.1 %,1537 Broj,20.8 %,44.56 Broj,167.3 Indeks,43 Broj,5.82 ‰,117 Broj,15.83 ‰,1 Broj,23.3 ‰,-74 Broj,-10.01 ‰,36.75 Indeks,0.97 Koeficijent,75 Broj,77.3 Broj,49.3 Broj,18.2 Broj,31.1 Broj,23 Broj,2 Broj,11.5 Broj,-26 Broj,105.32 km,1.9 km,1908 Broj,258 Broj,2305 Broj,93.9 %,595 Broj,24.2 %,2 Broj,0.3 Broj,65.9 %,34.5 %
1446,236,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2017,55 km2,925 ha,16.8 %,2 Broj,133 Broj,2455 Broj,7307 Broj,3611 Broj,3696 Broj,0.98 Odnos,1.02 Odnos,338 Broj,4.6 %,550 Broj,7.5 %,277 Broj,3.8 %,6223 Broj,85.2 %,1275 Broj,17.4 %,4860 Broj,66.5 %,1535 Broj,21 %,1559 Broj,21.3 %,44.82 Broj,175.3 Indeks,49 Broj,6.71 ‰,110 Broj,15.05 ‰,0 Broj,0 ‰,-61 Broj,-8.35 ‰,44.55 Indeks,1.11 Koeficijent,75.4 Broj,78.1 Broj,50.3 Broj,18.3 Broj,32.1 Broj,31 Broj,1 Broj,31 Broj,-4 Broj,97.63 km,1.8 km,1976 Broj,270 Broj,2305 Broj,93.9 %,597 Broj,24.3 %,4 Broj,0.5 Broj,65.9 %,34.5 %
1447,237,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2018,55 km2,925 ha,16.8 %,2 Broj,131 Broj,2455 Broj,7210 Broj,3576 Broj,3634 Broj,0.98 Odnos,1.02 Odnos,330 Broj,4.6 %,539 Broj,7.5 %,262 Broj,3.6 %,6152 Broj,85.3 %,1235 Broj,17.1 %,4755 Broj,66 %,1501 Broj,20.8 %,1586 Broj,22 %,45.03 Broj,181.3 Indeks,48 Broj,6.66 ‰,139 Broj,19.28 ‰,0 Broj,0 ‰,-91 Broj,-12.62 ‰,34.53 Indeks,1.12 Koeficijent,73.9 Broj,77.2 Broj,51.6 Broj,18.3 Broj,33.4 Broj,28 Broj,3 Broj,9.3 Broj,-40 Broj,97.63 km,1.8 km,1999 Broj,277 Broj,2305 Broj,93.9 %,598 Broj,24.4 %,4 Broj,0.6 Broj,65.9 %,34.5 %
1448,238,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2019,55 km2,925 ha,16.8 %,2 Broj,129 Broj,2455 Broj,7095 Broj,3522 Broj,3573 Broj,0.99 Odnos,1.01 Odnos,323 Broj,4.6 %,517 Broj,7.3 %,263 Broj,3.7 %,6058 Broj,85.4 %,1207 Broj,17 %,4655 Broj,65.6 %,1462 Broj,20.6 %,1600 Broj,22.6 %,45.21 Broj,185.5 Indeks,50 Broj,7.05 ‰,132 Broj,18.6 ‰,0 Broj,0 ‰,-82 Broj,-11.56 ‰,37.88 Indeks,1.18 Koeficijent,72.4 Broj,78.1 Broj,52.4 Broj,18 Broj,34.4 Broj,39 Broj,8 Broj,4.9 Broj,-17 Broj,97.81 km,1.8 km,2109 Broj,297 Broj,2305 Broj,93.9 %,598 Broj,24.4 %,7 Broj,1 Broj,65.9 %,34.5 %
1449,239,Lapovo,Sumadijska oblast,Lapovo,Šumadijska oblast,2020,55 km2,925 ha,16.8 %,2 Broj,127 Broj,2455 Broj,7009 Broj,3479 Broj,3530 Broj,0.99 Odnos,1.01 Odnos,335 Broj,4.8 %,488 Broj,7 %,270 Broj,3.9 %,5976 Broj,85.3 %,1177 Broj,16.8 %,4567 Broj,65.2 %,1440 Broj,20.5 %,1619 Broj,23.1 %,45.25 Broj,187.7 Indeks,62 Broj,8.85 ‰,118 Broj,16.84 ‰,0 Broj,0 ‰,-56 Broj,-7.99 ‰,52.54 Indeks,1.48 Koeficijent,71 Broj,78 Broj,53.5 Broj,18 Broj,35.4 Broj,21 Broj,3 Broj,7 Broj,-16 Broj,96.59 km,1.8 km,2185 Broj,312 Broj,2305 Broj,93.9 %,599 Broj,24.4 %,2 Broj,0.3 Broj,60.2 %,38.1 %
1450,240,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2011,279 km2,7831.01 ha,28.1 %,27 Broj,46 Broj,4455 Broj,12787 Broj,6341 Broj,6446 Broj,0.98 Odnos,1.02 Odnos,768 Broj,6 %,951 Broj,7.4 %,583 Broj,4.6 %,10641 Broj,83.2 %,2144 Broj,16.8 %,8226 Broj,64.3 %,2504 Broj,19.6 %,2842 Broj,22.2 %,44.66 Broj,152.2 Indeks,70 Broj,5.47 ‰,221 Broj,17.28 ‰,0 Broj,0 ‰,-151 Broj,-11.81 ‰,31.67 Indeks,1.02 Koeficijent,72.7 Broj,76.3 Broj,55.4 Broj,20.9 Broj,34.5 Broj,38 Broj,5 Broj,7.6 Broj,-92 Broj,283.7 km,1 km,2722 Broj,213 Broj,1956 Broj,43.9 %,1225 Broj,27.5 %,23 Broj,1.8 Broj,74.7 %,23.3 %
1451,241,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2012,279 km2,7831.01 ha,28.1 %,27 Broj,45 Broj,4455 Broj,12548 Broj,6227 Broj,6321 Broj,0.99 Odnos,1.02 Odnos,720 Broj,5.7 %,922 Broj,7.3 %,565 Broj,4.5 %,10488 Broj,83.6 %,2107 Broj,16.8 %,8103 Broj,64.6 %,2454 Broj,19.6 %,2803 Broj,22.3 %,44.97 Broj,159.8 Indeks,81 Broj,6.46 ‰,221 Broj,17.61 ‰,0 Broj,0 ‰,-140 Broj,-11.16 ‰,36.65 Indeks,1.21 Koeficijent,73.7 Broj,76.4 Broj,54.9 Broj,20.3 Broj,34.6 Broj,44 Broj,7 Broj,6.3 Broj,-95 Broj,283.7 km,1 km,2822 Broj,225 Broj,2221 Broj,49.9 %,1230 Broj,27.6 %,19 Broj,1.5 Broj,66.3 %,30 %
1452,242,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2013,279 km2,7831.01 ha,28.1 %,27 Broj,44 Broj,4455 Broj,12297 Broj,6109 Broj,6188 Broj,0.99 Odnos,1.01 Odnos,673 Broj,5.5 %,914 Broj,7.4 %,540 Broj,4.4 %,10306 Broj,83.8 %,2052 Broj,16.7 %,7948 Broj,64.6 %,2402 Broj,19.5 %,2762 Broj,22.5 %,45.2 Broj,166.7 Indeks,64 Broj,5.2 ‰,231 Broj,18.79 ‰,0 Broj,0 ‰,-167 Broj,-13.58 ‰,27.71 Indeks,0.98 Koeficijent,73.3 Broj,77.7 Broj,54.7 Broj,20 Broj,34.8 Broj,42 Broj,16 Broj,2.6 Broj,-100 Broj,273.63 km,1 km,2878 Broj,234 Broj,2238 Broj,50.2 %,1240 Broj,27.8 %,18 Broj,1.5 Broj,66.3 %,30 %
1453,243,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2014,279 km2,7827.03 ha,28.1 %,27 Broj,43 Broj,4455 Broj,12073 Broj,6007 Broj,6066 Broj,0.99 Odnos,1.01 Odnos,627 Broj,5.2 %,913 Broj,7.6 %,512 Broj,4.2 %,10150 Broj,84.1 %,1994 Broj,16.5 %,7766 Broj,64.3 %,2338 Broj,19.4 %,2767 Broj,22.9 %,45.48 Broj,173.7 Indeks,80 Broj,6.63 ‰,200 Broj,16.57 ‰,1 Broj,12.5 ‰,-120 Broj,-9.94 ‰,40 Indeks,1.23 Koeficijent,73.6 Broj,76.8 Broj,55.5 Broj,19.8 Broj,35.6 Broj,63 Broj,13 Broj,4.8 Broj,-62 Broj,273.63 km,1 km,2928 Broj,243 Broj,2238 Broj,50.2 %,1240 Broj,27.8 %,5 Broj,0.4 Broj,66.3 %,30 %
1454,244,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2015,279 km2,7827.03 ha,28.1 %,27 Broj,43 Broj,4455 Broj,11893 Broj,5935 Broj,5958 Broj,1 Odnos,1 Odnos,605 Broj,5.1 %,908 Broj,7.6 %,487 Broj,4.1 %,10030 Broj,84.3 %,1937 Broj,16.3 %,7602 Broj,63.9 %,2284 Broj,19.2 %,2778 Broj,23.4 %,45.72 Broj,179.7 Indeks,91 Broj,7.65 ‰,205 Broj,17.24 ‰,1 Broj,11 ‰,-114 Broj,-9.59 ‰,44.39 Indeks,1.46 Koeficijent,73.3 Broj,77.5 Broj,56.4 Broj,19.9 Broj,36.5 Broj,55 Broj,9 Broj,6.1 Broj,-63 Broj,273.63 km,1 km,2927 Broj,246 Broj,2238 Broj,50.2 %,1250 Broj,28.1 %,1 Broj,0.1 Broj,66.3 %,30 %
1455,245,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2016,279 km2,7827.03 ha,28.1 %,27 Broj,42 Broj,4455 Broj,11723 Broj,5859 Broj,5864 Broj,1 Odnos,1 Odnos,592 Broj,5 %,894 Broj,7.6 %,456 Broj,3.9 %,9904 Broj,84.5 %,1882 Broj,16.1 %,7443 Broj,63.5 %,2247 Broj,19.2 %,2794 Broj,23.8 %,45.95 Broj,184.7 Indeks,81 Broj,6.91 ‰,193 Broj,16.46 ‰,0 Broj,0 ‰,-112 Broj,-9.55 ‰,41.97 Indeks,1.33 Koeficijent,74.2 Broj,77.7 Broj,57.5 Broj,20 Broj,37.5 Broj,62 Broj,9 Broj,6.9 Broj,-51 Broj,276.7 km,1 km,3026 Broj,258 Broj,2238 Broj,50.2 %,1254 Broj,28.1 %,12 Broj,1 Broj,67.4 %,23.3 %
1456,246,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2017,279 km2,7825.02 ha,28 %,27 Broj,41 Broj,4455 Broj,11549 Broj,5777 Broj,5772 Broj,1 Odnos,1 Odnos,560 Broj,4.8 %,890 Broj,7.7 %,443 Broj,3.8 %,9765 Broj,84.6 %,1849 Broj,16 %,7274 Broj,63 %,2204 Broj,19.1 %,2825 Broj,24.5 %,46.17 Broj,189.7 Indeks,69 Broj,5.97 ‰,205 Broj,17.75 ‰,2 Broj,29 ‰,-136 Broj,-11.78 ‰,33.66 Indeks,1.17 Koeficijent,73.6 Broj,77.2 Broj,58.8 Broj,19.9 Broj,38.8 Broj,42 Broj,10 Broj,4.2 Broj,-50 Broj,257.11 km,0.9 km,3113 Broj,270 Broj,2238 Broj,50.2 %,1254 Broj,28.1 %,11 Broj,1 Broj,67.4 %,23.3 %
1457,247,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2018,279 km2,7825.02 ha,28 %,27 Broj,41 Broj,4455 Broj,11374 Broj,5697 Broj,5677 Broj,1 Odnos,1 Odnos,549 Broj,4.8 %,874 Broj,7.7 %,445 Broj,3.9 %,9619 Broj,84.6 %,1800 Broj,15.8 %,7097 Broj,62.4 %,2159 Broj,19 %,2854 Broj,25.1 %,46.32 Broj,192.6 Indeks,94 Broj,8.26 ‰,189 Broj,16.62 ‰,2 Broj,21.3 ‰,-95 Broj,-8.35 ‰,49.74 Indeks,1.63 Koeficijent,73 Broj,78.2 Broj,60.3 Broj,20.1 Broj,40.2 Broj,44 Broj,14 Broj,3.1 Broj,-69 Broj,257.11 km,0.9 km,3122 Broj,274 Broj,2238 Broj,50.2 %,1255 Broj,28.2 %,15 Broj,1.3 Broj,67.4 %,23.3 %
1458,248,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2019,279 km2,7825.02 ha,28 %,27 Broj,40 Broj,4455 Broj,11204 Broj,5620 Broj,5584 Broj,1.01 Odnos,0.99 Odnos,556 Broj,5 %,845 Broj,7.5 %,439 Broj,3.9 %,9476 Broj,84.6 %,1733 Broj,15.5 %,6922 Broj,61.8 %,2110 Broj,18.8 %,2881 Broj,25.7 %,46.49 Broj,194 Indeks,69 Broj,6.16 ‰,201 Broj,17.94 ‰,0 Broj,0 ‰,-132 Broj,-11.78 ‰,34.33 Indeks,1.24 Koeficijent,72.2 Broj,77.9 Broj,61.9 Broj,20.2 Broj,41.6 Broj,44 Broj,18 Broj,2.4 Broj,-44 Broj,257.11 km,0.9 km,3265 Broj,291 Broj,2238 Broj,50.2 %,1255 Broj,28.2 %,15 Broj,1.3 Broj,67.4 %,23.3 %
1459,249,Ljig,Kolubarska oblast,Ljig,Kolubarska oblast,2020,279 km2,8088.2 ha,29 %,27 Broj,39 Broj,4455 Broj,11017 Broj,5538 Broj,5479 Broj,1.01 Odnos,0.99 Odnos,561 Broj,5.1 %,802 Broj,7.3 %,438 Broj,4 %,9325 Broj,84.6 %,1695 Broj,15.4 %,6764 Broj,61.4 %,2054 Broj,18.6 %,2890 Broj,26.2 %,46.48 Broj,196.2 Indeks,75 Broj,6.81 ‰,243 Broj,22.06 ‰,0 Broj,0 ‰,-168 Broj,-15.25 ‰,30.86 Indeks,1.4 Koeficijent,71.7 Broj,78.9 Broj,62.9 Broj,20.2 Broj,42.7 Broj,32 Broj,15 Broj,2.1 Broj,-30 Broj,257.11 km,0.9 km,3316 Broj,301 Broj,2238 Broj,50.2 %,1256 Broj,28.2 %,10 Broj,0.9 Broj,64.1 %,34.8 %
1460,250,Ljubovija,Macvanska oblast,Ljubovija,Mačvanska oblast,2011,356 km2,13487.51 ha,37.9 %,27 Broj,41 Broj,4852 Broj,14507 Broj,7305 Broj,7202 Broj,1.01 Odnos,0.99 Odnos,854 Broj,5.9 %,1176 Broj,8.1 %,687 Broj,4.7 %,11958 Broj,82.4 %,2601 Broj,17.9 %,9971 Broj,68.7 %,3075 Broj,21.2 %,2506 Broj,17.3 %,42.62 Broj,120.1 Indeks,120 Broj,8.27 ‰,252 Broj,17.37 ‰,1 Broj,8.3 ‰,-132 Broj,-9.1 ‰,47.62 Indeks,1.46 Koeficijent,72.1 Broj,77.5 Broj,45.5 Broj,20.4 Broj,25.1 Broj,66 Broj,2 Broj,33 Broj,-142 Broj,194.78 km,0.5 km,2431 Broj,168 Broj,2140 Broj,44.1 %,1500 Broj,30.9 %,29 Broj,2 Broj,72.5 %,8.6 %
1461,251,Ljubovija,Macvanska oblast,Ljubovija,Mačvanska oblast,2012,356 km2,13487.51 ha,37.9 %,27 Broj,40 Broj,4852 Broj,14252 Broj,7183 Broj,7069 Broj,1.02 Odnos,0.98 Odnos,816 Broj,5.7 %,1141 Broj,8 %,680 Broj,4.8 %,11781 Broj,82.7 %,2550 Broj,17.9 %,9813 Broj,68.9 %,2982 Broj,20.9 %,2482 Broj,17.4 %,42.92 Broj,125.7 Indeks,87 Broj,6.1 ‰,220 Broj,15.44 ‰,0 Broj,0 ‰,-133 Broj,-9.33 ‰,39.55 Indeks,1.1 Koeficijent,72.5 Broj,77.6 Broj,45.2 Broj,19.9 Broj,25.3 Broj,50 Broj,3 Broj,16.7 Broj,-104 Broj,216.46 km,0.6 km,2554 Broj,179 Broj,2140 Broj,44.1 %,1622 Broj,33.4 %,15 Broj,1.1 Broj,68.5 %,28.6 %
1462,252,Ljubovija,Macvanska oblast,Ljubovija,Mačvanska oblast,2013,356 km2,13487.51 ha,37.9 %,27 Broj,39 Broj,4852 Broj,14015 Broj,7073 Broj,6942 Broj,1.02 Odnos,0.98 Odnos,794 Broj,5.7 %,1113 Broj,7.9 %,659 Broj,4.7 %,11623 Broj,82.9 %,2464 Broj,17.6 %,9636 Broj,68.8 %,2891 Broj,20.6 %,2472 Broj,17.6 %,43.24 Broj,131.3 Indeks,127 Broj,9.06 ‰,223 Broj,15.91 ‰,1 Broj,7.9 ‰,-96 Broj,-6.85 ‰,56.95 Indeks,1.66 Koeficijent,71.9 Broj,76.9 Broj,45.4 Broj,19.8 Broj,25.7 Broj,54 Broj,10 Broj,5.4 Broj,-140 Broj,209.32 km,0.6 km,2627 Broj,187 Broj,2195 Broj,45.2 %,1622 Broj,33.4 %,5 Broj,0.4 Broj,68.5 %,28.6 %
1463,253,Ljubovija,Macvanska oblast,Ljubovija,Mačvanska oblast,2014,356 km2,13399.12 ha,37.6 %,27 Broj,39 Broj,4852 Broj,13753 Broj,6958 Broj,6795 Broj,1.02 Odnos,0.98 Odnos,784 Broj,5.7 %,1087 Broj,7.9 %,616 Broj,4.5 %,11432 Broj,83.1 %,2337 Broj,17 %,9404 Broj,68.4 %,2791 Broj,20.3 %,2478 Broj,18 %,43.57 Broj,137 Indeks,108 Broj,7.85 ‰,203 Broj,14.76 ‰,0 Broj,0 ‰,-95 Broj,-6.91 ‰,53.2 Indeks,1.49 Koeficijent,72.7 Broj,77.4 Broj,46.2 Broj,19.9 Broj,26.4 Broj,52 Broj,4 Broj,13 Broj,-193 Broj,178.73 km,0.5 km,2734 Broj,199 Broj,2503 Broj,51.6 %,1640 Broj,33.8 %,14 Broj,1 Broj,68.5 %,28.6 %
1464,254,Ljubovija,Macvanska oblast,Ljubovija,Mačvanska oblast,2015,356 km2,13399.12 ha,37.6 %,27 Broj,38 Broj,4852 Broj,13477 Broj,6837 Broj,6640 Broj,1.03 Odnos,0.97 Odnos,769 Broj,5.7 %,1048 Broj,7.8 %,581 Broj,4.3 %,11243 Broj,83.4 %,2227 Broj,16.5 %,9168 Broj,68 %,2696 Broj,20 %,2492 Broj,18.5 %,43.92 Broj,144.1 Indeks,93 Broj,6.9 ‰,230 Broj,17.07 ‰,0 Broj,0 ‰,-137 Broj,-10.17 ‰,40.43 Indeks,1.33 Koeficijent,72.4 Broj,77.3 Broj,47 Broj,19.8 Broj,27.2 Broj,66 Broj,4 Broj,16.5 Broj,-127 Broj,178.73 km,0.5 km,2846 Broj,211 Broj,2513 Broj,51.8 %,1640 Broj,33.8 %,14 Broj,1 Broj,68.5 %,28.6 %
1465,255,Ljubovija,Macvanska oblast,Ljubovija,Mačvanska oblast,2016,356 km2,13399.12 ha,37.6 %,27 Broj,37 Broj,4852 Broj,13256 Broj,6722 Broj,6534 Broj,1.03 Odnos,0.97 Odnos,749 Broj,5.7 %,1007 Broj,7.6 %,554 Broj,4.2 %,11093 Broj,83.7 %,2162 Broj,16.3 %,8978 Broj,67.7 %,2627 Broj,19.8 %,2522 Broj,19 %,44.27 Broj,151 Indeks,99 Broj,7.47 ‰,184 Broj,13.88 ‰,0 Broj,0 ‰,-85 Broj,-6.41 ‰,53.8 Indeks,1.47 Koeficijent,72.9 Broj,78.2 Broj,47.6 Broj,19.6 Broj,28.1 Broj,53 Broj,7 Broj,7.6 Broj,-94 Broj,192.65 km,0.5 km,2994 Broj,226 Broj,3132 Broj,64.6 %,1966 Broj,40.5 %,25 Broj,1.9 Broj,72.3 %,22.9 %
1466,256,Ljubovija,Macvanska oblast,Ljubovija,Mačvanska oblast,2017,356 km2,13399.12 ha,37.6 %,27 Broj,37 Broj,4852 Broj,13045 Broj,6601 Broj,6444 Broj,1.02 Odnos,0.98 Odnos,735 Broj,5.6 %,976 Broj,7.5 %,536 Broj,4.1 %,10928 Broj,83.8 %,2068 Broj,15.9 %,8742 Broj,67 %,2552 Broj,19.6 %,2592 Broj,19.9 %,44.61 Broj,158 Indeks,104 Broj,7.97 ‰,211 Broj,16.17 ‰,1 Broj,9.6 ‰,-107 Broj,-8.2 ‰,49.29 Indeks,1.57 Koeficijent,71.9 Broj,78.7 Broj,49.2 Broj,19.6 Broj,29.6 Broj,66 Broj,11 Broj,6 Broj,-135 Broj,196.73 km,0.6 km,3098 Broj,237 Broj,3132 Broj,64.6 %,2023 Broj,41.7 %,18 Broj,1.4 Broj,72.3 %,22.9 %
1467,257,Ljubovija,Macvanska oblast,Ljubovija,Mačvanska oblast,2018,356 km2,13399.12 ha,37.6 %,27 Broj,36 Broj,4852 Broj,12805 Broj,6475 Broj,6330 Broj,1.02 Odnos,0.98 Odnos,720 Broj,5.6 %,949 Broj,7.4 %,541 Broj,4.2 %,10727 Broj,83.8 %,1975 Broj,15.4 %,8468 Broj,66.1 %,2469 Broj,19.3 %,2668 Broj,20.8 %,44.96 Broj,164.6 Indeks,101 Broj,7.89 ‰,199 Broj,15.54 ‰,0 Broj,0 ‰,-98 Broj,-7.65 ‰,50.75 Indeks,1.63 Koeficijent,72.1 Broj,79.3 Broj,51.2 Broj,19.7 Broj,31.5 Broj,66 Broj,8 Broj,8.3 Broj,-140 Broj,196.73 km,0.6 km,3145 Broj,246 Broj,3134 Broj,64.6 %,2023 Broj,41.7 %,15 Broj,1.2 Broj,72.3 %,22.9 %
